German,English
ich ,I
sie ,they
das ,the
ist ,is
du ,you
nicht ,Not
die ,the
es ,it
und ,and
der ,the
wir ,weather
was ,What
zu ,to
er ,he
ein ,on
in ,in
mir ,to me
mit ,with
ja ,Yes
den ,the
wie ,how
mich ,me
auf ,on
dass ,that
eine ,one
aber ,but
so ,so
hat ,Has
hier ,here
haben ,to have
sind ,are
für ,for
von ,from
dich ,you
war ,was
wenn ,if
ihr ,her
habe ,have
nein ,no
an ,on
bin ,am
noch ,still
da ,there
dir ,to you
nur ,only
einen ,a
sich ,yourself
uns ,US
hast ,have
dem ,to the
kann ,can
sein ,being
auch ,also
ihn ,him
schon ,nice
als ,as
jetzt ,now
gut ,Good
mal ,just
aus ,the end
um ,around
meine ,my
dann ,then
wird ,will
im ,in the
bist ,are you
mein ,my
doch ,indeed
alles ,everything
keine ,no
weiß ,White
oder ,or
nach ,to
s ,s
werden ,become
nichts ,Nothing
man ,you
wo ,Where
ihnen ,them
etwas ,some
muss ,got to
will ,want
geht ,goes
oh ,Oh
mehr ,more
also ,so
bei ,at
immer ,always
bitte ,You're welcome
warum ,why
hab ,have
vor ,in front
los ,Come on
können ,be able
wieder ,again
sagen ,say
machen ,make
alle ,Everyone
sehr ,very